"lhs","op","rhs","count.group","count.ind"
"X6","~","X10",60,0
"X10","~","X10lag",60,0
"X1","~","X1lag",60,0
"X3","~","X2",60,0
"X4","~","X2",60,0
"X2","~","X2lag",60,0
"X3","~","X3lag",60,0
"X5","~","X4",60,0
"X7","~","X4",60,0
"X4","~","X4lag",60,0
"X5","~","X5lag",60,0
"X4","~","X6",60,0
"X9","~","X6",60,0
"X6","~","X6lag",60,0
"X10","~","X7",60,0
"X3","~","X7",60,0
"X7","~","X7lag",60,0
"X1","~","X8",60,0
"X2","~","X8",60,0
"X8","~","X8lag",60,0
"X2","~","X9",60,0
"X8","~","X9",60,0
"X9","~","X9lag",60,0
"X1","~","X4",0,14
"X5","~","X6",0,14
"X2","~","X7",0,14
"X5","~","X4lag",0,13
"X2","~","X3lag",0,12
"X10","~","X6lag",0,10
"X4","~","X9",0,10
"X6","~","X9lag",0,10
"X6","~","X10lag",0,9
"X9","~","X8lag",0,9
"X3","~","X2lag",0,8
"X10","~","X5",0,7
"X9","~","X6lag",0,7
"X7","~","X2",0,6
"X9","~","X4",0,6
"X4","~","X5lag",0,6
"X8","~","X6",0,6
"X5","~","X10",0,5
"X10","~","X2",0,5
"X4","~","X5",0,5
"X6","~","X5",0,5
"X2","~","X5",0,4
"X1","~","X6",0,4
"X8","~","X9lag",0,4
"X9","~","X10lag",0,3
"X6","~","X2",0,3
"X9","~","X2",0,3
"X7","~","X5",0,3
"X6","~","X8",0,3
"X2","~","X9lag",0,3
"X6","~","X1",0,2
"X4","~","X2lag",0,2
"X10","~","X4",0,2
"X2","~","X4",0,2
"X7","~","X4lag",0,2
"X9","~","X5",0,2
"X6","~","X5lag",0,2
"X10","~","X6",0,2
"X2","~","X6",0,2
"X10","~","X8",0,2
"X1","~","X8lag",0,2
"X10","~","X9",0,2
"X6","~","X9",0,2
"X10","~","X1",0,1
"X2","~","X10",0,1
"X7","~","X10",0,1
"X5","~","X10lag",0,1
"X6","~","X1lag",0,1
"X10","~","X2lag",0,1
"X8","~","X2lag",0,1
"X4","~","X3",0,1
"X6","~","X3",0,1
"X9","~","X3",0,1
"X4","~","X3lag",0,1
"X6","~","X4",0,1
"X2","~","X4lag",0,1
"X3","~","X4lag",0,1
"X8","~","X5",0,1
"X3","~","X6",0,1
"X4","~","X6lag",0,1
"X5","~","X6lag",0,1
"X5","~","X7",0,1
"X10","~","X7lag",0,1
"X3","~","X7lag",0,1
"X4","~","X8",0,1
"X2","~","X8lag",0,1
"X5","~","X8lag",0,1
"X6","~","X8lag",0,1
"X3","~","X9",0,1
"X5","~","X9",0,1
"X5","~","X9lag",0,1
