"X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X9lag","X10lag","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
60,0,0,0,0,0,1,0,0,0,0,5,0,17,0,7,1,2,0,1
1,60,0,0,1,0,0,0,0,0,0,0,1,2,11,5,6,18,60,6
0,8,60,0,0,0,0,0,1,0,0,60,0,1,0,1,19,1,0,0
0,1,1,60,4,0,0,1,1,0,7,60,1,0,60,9,7,1,11,4
0,0,0,7,60,0,0,2,1,1,0,5,4,4,0,60,8,1,5,0
1,0,0,1,0,60,0,2,3,5,10,8,5,4,1,0,1,2,60,0
1,0,2,4,0,1,60,1,0,2,0,1,23,27,0,0,0,0,0,60
4,2,0,0,1,0,0,60,7,1,60,7,1,1,0,0,0,0,0,1
0,0,0,0,0,3,1,5,60,0,0,8,0,4,2,0,1,60,0,0
1,0,0,1,0,2,2,1,0,60,1,1,2,2,3,60,1,0,0,0
